"mc","physicist","E","T","L"
550.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
557.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
558.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
560.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
565.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
576.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
577.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
582.0,"Sergio (replica A)",-0.56640625,0.6,8
588.0,"Sergio (replica A)",-0.56640625,0.6,8
602.0,"Sergio (replica A)",-0.56640625,0.6,8
608.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
609.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
610.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
611.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
612.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
613.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
614.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
616.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
617.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
618.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
619.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
621.0,"Sergio (replica A)",-0.56640625,0.6,8
624.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
627.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
630.0,"Sergio (replica A)",-0.56640625,0.6,8
634.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
640.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
645.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
646.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
653.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
661.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
664.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
666.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
672.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
684.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
686.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
693.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
698.0,"Sergio (replica A)",-0.56640625,0.6,8
715.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
724.0,"Sergio (replica A)",-0.56640625,0.6,8
725.0,"Sergio (replica A)",-0.56640625,0.6,8
726.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
727.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
728.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
729.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
730.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
732.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
733.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
734.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
735.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
736.0,"Sergio (replica A)",-0.56640625,0.6,8
737.0,"Sergio (replica A)",-0.56640625,0.6,8
740.0,"Sergio (replica A)",-0.56640625,0.6,8
743.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
746.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
750.0,"Sergio (replica A)",-0.56640625,0.6,8
756.0,"Sergio (replica A)",-0.56640625,0.6,8
760.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
762.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
